product_id,taxon_id
189,41220
1,10101
66,71106
2,71101
188,41220
698,18241
3,71115
571,18182
699,18241
700,18241
701,18241
702,18241
2857,43152
4,71101
1019,13126
67,71133
5,71103
572,18182
68,71106
1457,51230
573,61140
1020,13141
1021,13141
1130,43171
2375,71112
1965,15242
6,71134
69,71133
7,71134
71,71133
73,71106
8,71101
70,71106
72,71133
1458,51230
74,71115
1859,32126
75,12182
3731,15243
756,71148
3129,71112
9,71101
79,12181
10,71101
574,61140
76,12182
11,71101
78,12181
12,71101
77,12181
80,12181
81,12185
1022,13993
82,12186
1459,51200
5568,43152
2788,40120
83,40181
13,71103
87,12182
84,31160
14,71103
86,12182
575,61140
85,12182
88,18190
90,12180
89,18190
1023,13993
2376,70105
3136,71112
15,71103
91,12183
576,61140
16,71103
95,14253
92,12188
17,71103
94,14253
93,14253
96,14253
1460,51200
97,14253
98,14253
1860,32122
10548,17166
18,71101
102,17164
19,71101
99,14253
101,17164
20,71103
100,14253
103,17182
577,61201
104,71110
105,71110
1024,13993
2377,70103
2858,43190
109,17196
21,71101
106,71110
22,71101
108,61220
23,71103
578,61140
107,12182
111,73990
110,72140
1461,51200
3251,62124
190,41220
7064,14252
112,41101
24,71103
559,61103
25,71103
113,71110
26,71103
558,71112
114,12183
579,61140
560,14101
561,14101
1025,43110
1462,51200
1861,32122
3106,11172
118,41212
27,71101
115,41211
28,71103
117,41110
29,71103
580,61140
116,41110
119,41110
120,41211
121,41110
1026,40150
2378,70124
3732,16131
581,61152
30,71101
124,41211
122,41211
31,71101
1463,51200
123,41211
2859,43173
125,41211
582,61152
583,61201
584,61140
585,61201
586,61140
8112,60271
32,71103
703,18241
33,71103
588,61201
126,41211
34,71103
128,41212
127,41211
587,61140
129,12183
1027,40120
589,61140
1862,32123
1464,51200
35,71101
590,61140
132,12188
36,71101
130,12183
37,71103
135,73990
134,17182
131,41212
133,12188
136,73990
137,41212
1028,40120
3252,62122
5569,43152
38,71103
141,41212
39,71103
138,41212
40,71101
140,41212
591,61140
139,41212
142,41212
143,41212
144,41212
2379,70101
1465,51200
15672,21116
41,71115
592,61201
42,71103
145,41212
43,71103
147,41212
146,41212
1863,32126
1029,40120
148,41212
593,61201
594,61140
595,62990
3733,16132
44,71103
152,71110
45,71103
149,41212
46,71103
151,12184
154,62100
150,17138
153,62100
1466,51200
155,17164
239,17102
2380,70102
2860,43172
11121,43171
47,71103
159,12187
48,71103
156,17164
49,71103
158,12186
596,62990
157,41220
160,41220
161,41220
162,41220
1030,40140
1467,51200
1864,32126
50,71103
166,41220
51,71103
163,17182
165,41220
52,71103
597,62990
164,41220
167,17102
168,17102
169,41110
1031,40140
5570,43152
53,71101
175,18261
172,18261
170,17164
54,71140
55,71103
174,18261
171,17182
598,62990
173,18261
176,18261
1468,51181
2381,70124
1865,32126
3253,62121
599,62990
56,71103
177,18261
57,71141
179,18261
58,71141
1032,40140
178,18261
1469,51180
600,62990
180,12182
601,62990
2861,43171
3734,16133
59,71134
603,61131
181,12182
60,71134
602,61132
61,71134
182,41110
1033,40120
604,61131
605,61131
606,61131
607,61131
1470,51180
7065,14252
4686,70101
62,71133
183,71110
63,71133
611,61131
184,72133
64,71133
608,61131
610,61131
609,61131
612,61131
1034,40120
613,61131
757,71131
1866,32126
2382,70125
185,72132
65,71106
1036,43130
186,72140
614,61131
187,71110
1471,51181
1035,43130
615,61131
3254,62122
1037,43130
1038,43130
2862,43174
8113,60271
1039,43130
621,61131
191,41220
616,61131
192,14253
618,61131
620,61131
617,61131
1472,51180
619,61131
622,61131
623,50103
1867,32123
2383,70105
193,14253
627,50101
194,71116
624,50103
195,14253
626,50101
628,50101
625,50103
1040,43130
629,50101
630,50101
1473,51182
3735,17138
10549,17166
196,61990
201,14253
199,12183
197,61990
1041,43100
198,41211
204,71110
203,72122
200,14253
205,71110
202,61990
206,71110
207,71110
1474,51180
2863,40140
3255,62124
214,62100
213,12183
208,17182
211,71110
209,71110
215,12183
212,71110
210,71110
631,50102
216,72121
217,72121
1184,43190
1042,43174
2384,70124
5571,43152
223,14253
220,18190
218,72121
222,18190
219,12186
632,50102
221,18190
224,14253
225,12183
1868,99990
226,12183
240,17183
1131,43172
235,17182
227,12183
230,12183
232,42201
228,12186
234,17103
231,41110
229,12186
633,50110
233,17102
236,17183
237,17192
238,17181
1475,51182
1132,43173
15673,51173
243,71110
248,71116
241,41110
245,71110
244,71110
242,12183
247,12184
1043,43174
246,12184
249,71116
634,50103
250,12184
251,12184
2385,70124
254,17137
252,17136
256,14253
253,17137
636,50101
255,17136
635,50101
257,14253
1044,43190
637,50101
758,71138
759,71101
2864,43174
1476,51182
12750,14162
260,17137
258,61990
3256,62122
262,12181
259,17136
265,17182
264,12183
261,31160
266,61252
263,12181
1869,99990
267,61252
3736,17193
298,72122
7658,18232
268,30120
638,50103
271,61990
269,14253
273,18190
270,14253
1045,43174
272,17182
1477,51182
274,17182
639,50101
640,50101
704,18241
2386,70124
3107,11172
644,50104
275,17181
641,50101
276,17182
643,50104
277,17181
642,50104
645,50104
1046,43174
646,50101
5572,43152
2243,60182
11122,43172
7600,14253
280,17164
283,17164
278,17182
281,17164
279,17183
282,17164
285,17164
284,17164
1047,43190
286,61990
1478,51182
287,14253
